Unit_ID,Region,Locality,Furnished,Bathroom,No_Rooms,Area,AnnualPrice
kmva009,Jakarta Selatan,Kemang,1,1,0,43.0,150000000
gprc141,Jakarta Pusat,Cempaka Putih,0,1,2,33.0,43500000
pugd005,Jakarta Barat,Kembangan,1,2,3,71.0,80000000
thrc019,Jakarta Pusat,Thamrin,1,1,2,58.0,126000000
sscc008,Jakarta Barat,Grogol,1,1,2,48.0,55000000
gklb008,Bekasi,Pekayon,1,1,1,35.0,40000000
cagc059,Jakarta Selatan,Casablanca,1,2,2,76.0,204000000
grpc024,Jakarta Selatan,Kalibata,1,1,2,36.0,61000000
thrb009,Jakarta Pusat,Thamrin,1,1,1,42.0,85000000
ssrc026,Jakarta Pusat,Sudirman,1,1,2,70.0,200050000
gdic032,Jakarta Timur,Kelapa Gading,1,1,2,43.0,27500000
mppc009,Jakarta Utara,Sunter,1,1,2,49.0,59800000
esdd031,Jakarta Selatan,Dharmawangsa,1,3,3,136.0,240000000
ppvc047,Jakarta Barat,Kebon Jeruk,1,1,2,35.0,42000000
mg1c008,Jakarta Barat,Tanjung Duren,1,1,2,42.0,43000000
tmkf002,Jakarta Selatan,Kemang,1,3,3,242.0,562800000
mepa099,Jakarta Pusat,Menteng,1,1,0,28.0,65000000
kmvc017,Jakarta Selatan,Kemang,1,1,2,124.0,264600000
mg2c120,Jakarta Barat,Tanjung Duren,1,1,2,42.0,57000000
cagb011,Jakarta Selatan,Casablanca,1,1,1,50.0,170100000
mlkd012,Jakarta Pusat,Kemayoran,1,3,3,97.0,98000000
thrc029,Jakarta Pusat,Thamrin,1,1,2,52.0,108000000
mepc064,Jakarta Pusat,Menteng,1,1,2,64.0,120000000
tmbb159,Jakarta Pusat,Kemayoran,0,1,1,50.0,59800000
mepc042,Jakarta Pusat,Menteng,1,1,2,61.0,166800000
csaa001,Jakarta Pusat,Menteng,1,1,0,36.0,110400000
supd005,Jakarta Pusat,Sudirman,1,1,3,80.0,156000000
gbpc099,Jakarta Utara,Pluit,1,1,2,37.0,39000000
gcpc011,Bekasi,Pekayon,1,1,2,36.0,55000000
stmc025,Jakarta Barat,Puri Indah,1,1,2,84.0,180000000
jkrd004,Jakarta Pusat,Thamrin,1,2,3,88.0,132000000
tmjc095,Jakarta Pusat,Kemayoran,1,1,2,74.0,75000000
pktf018,Jakarta Selatan,Kebayoran Lama,1,1,0,22.0,39000000
tnac019,Tangerang,Karang Tengah,0,1,2,44.0,37000000
btvb008,Jakarta Pusat,Bendungan Hilir,1,1,1,43.0,90000000
tmjc123,Jakarta Pusat,Kemayoran,0,1,2,73.0,50000000
htpc016,Jakarta Selatan,Pondok Indah,1,2,2,82.0,180000000
thrc037,Jakarta Pusat,Thamrin,1,2,2,124.0,168000000
spvc024,Jakarta Utara,Sunter,1,1,2,35.0,33000000
cepc007,Jakarta Barat,Tanjung Duren,1,2,2,82.0,125000000
ssca036,Jakarta Barat,Grogol,1,1,0,31.0,31000000
prmc006,Jakarta Selatan,Kuningan,1,3,2,148.0,195600000
apla009,Tangerang,Serpong,1,1,0,22.0,35000000
blmb028,Jakarta Barat,Kebon Jeruk,1,1,1,34.0,46000000
esdd005,Jakarta Selatan,Dharmawangsa,1,2,3,136.0,264600000
skla004,Tangerang,Karang Tengah,0,1,0,24.0,26400000
ockb001,Bekasi,Cikarang,1,1,1,44.0,95000000
mmac018,Jakarta Utara,Ancol,1,2,2,90.0,85000000
anmd004,Jakarta Utara,Ancol,0,2,3,189.0,200000000
